run,dataset,model,n_ahead,ws,n_var,mae,mape,training_time
1,ws7_fh1_var1,TCN,1,7,1,2.468919670453171,7.4604699432885235,13.62810730934143
1,ws7_fh1_var3,TCN,1,7,3,16.131680652259035,56.69068897121918,11.81018328666687
1,ws7_fh3_var1,TCN,3,7,1,3.680700669982926,12.26778084541574,16.302655935287476
1,ws7_fh3_var3,TCN,3,7,3,5.8338301362343215,19.05536328739682,15.609965801239014
1,ws7_fh7_var1,TCN,7,7,1,4.934460988466883,16.36941652886629,16.34087085723877
1,ws7_fh7_var3,TCN,7,7,3,6.584814705746912,22.151423464203283,15.759128093719482
1,ws15_fh1_var1,TCN,1,15,1,1.7225543383190691,5.117121625813475,12.549580335617065
1,ws15_fh1_var3,TCN,1,15,3,6.571495401562928,21.380574118306523,12.194306135177612
1,ws15_fh3_var1,TCN,3,15,1,3.627585147993114,11.739596524883469,16.00240206718445
1,ws15_fh3_var3,TCN,3,15,3,6.632754481512929,22.96915970183564,15.425824880599976
1,ws15_fh7_var1,TCN,7,15,1,4.904888018508431,16.29661250505676,16.108335971832275
1,ws15_fh7_var3,TCN,7,15,3,5.745154259914911,18.972104997391046,15.562567949295044
1,ws30_fh1_var1,TCN,1,30,1,3.6952179452419864,12.419204840652682,11.64760971069336
1,ws30_fh1_var3,TCN,1,30,3,6.81697533318613,23.8608859482252,11.174013137817383
1,ws30_fh3_var1,TCN,3,30,1,4.965300194785857,17.1678787275759,16.066999197006226
1,ws30_fh3_var3,TCN,3,30,3,5.975420520492455,20.736698251969433,15.43405294418335
1,ws30_fh7_var1,TCN,7,30,1,5.2057053981737385,17.405505870745166,15.928968906402588
1,ws30_fh7_var3,TCN,7,30,3,6.192622125589945,20.94669648684322,15.170453786849976
2,ws7_fh1_var1,TCN,1,7,1,4.453155987625951,15.507904672628225,11.008160591125488
2,ws7_fh1_var3,TCN,1,7,3,4.462080316821724,15.47937417969973,11.065764427185059
2,ws7_fh3_var1,TCN,3,7,1,2.9567720127359443,9.132312410578878,14.78602933883667
2,ws7_fh3_var3,TCN,3,7,3,6.130985319793889,19.948382301620956,14.540034055709839
2,ws7_fh7_var1,TCN,7,7,1,5.20618952149313,17.361892814245333,14.883188724517822
2,ws7_fh7_var3,TCN,7,7,3,10.241892380306988,35.876223834038875,14.851646900177002
2,ws15_fh1_var1,TCN,1,15,1,4.771488729269078,16.516047609927877,11.528816938400269
2,ws15_fh1_var3,TCN,1,15,3,4.796180844029507,15.947566037109615,11.463975191116333
2,ws15_fh3_var1,TCN,3,15,1,4.931426132729332,17.07368820584696,14.653663635253906
2,ws15_fh3_var3,TCN,3,15,3,4.209925675732871,13.455073974670675,14.524631977081299
2,ws15_fh7_var1,TCN,7,15,1,4.877560946784896,16.097113969009044,14.833536148071289
2,ws15_fh7_var3,TCN,7,15,3,7.817327078063864,26.58624752070942,14.92627477645874
2,ws30_fh1_var1,TCN,1,30,1,3.053574543979129,10.033510491929011,10.430580139160156
2,ws30_fh1_var3,TCN,1,30,3,4.4587229777389386,15.121902665021977,10.660067081451416
2,ws30_fh3_var1,TCN,3,30,1,3.5696580641832143,11.460300757289987,14.575211524963379
2,ws30_fh3_var3,TCN,3,30,3,4.329770311202936,14.454832192873877,14.401255130767822
2,ws30_fh7_var1,TCN,7,30,1,4.674739599170619,15.228163657115907,14.17603850364685
2,ws30_fh7_var3,TCN,7,30,3,9.27235780370818,32.036883603987,13.957889556884766
3,ws7_fh1_var1,TCN,1,7,1,2.320837397776634,7.454635457648627,10.924837827682495
3,ws7_fh1_var3,TCN,1,7,3,4.61388904676438,16.10391867026476,10.896066188812256
3,ws7_fh3_var1,TCN,3,7,1,5.225537520897263,18.04274253205098,14.360901594161987
3,ws7_fh3_var3,TCN,3,7,3,6.509764616105663,22.111620568999246,14.370879888534546
3,ws7_fh7_var1,TCN,7,7,1,4.356911213506516,14.006563058987398,14.392063617706299
3,ws7_fh7_var3,TCN,7,7,3,5.229157142006947,16.99012029793305,14.530569314956665
3,ws15_fh1_var1,TCN,1,15,1,3.3007508470987967,11.407931458252566,11.055138349533081
3,ws15_fh1_var3,TCN,1,15,3,4.698874892729858,16.33104439184624,11.084309577941895
3,ws15_fh3_var1,TCN,3,15,1,3.679618658464045,11.982818152254355,14.054054498672485
3,ws15_fh3_var3,TCN,3,15,3,8.25652295056526,27.532733376506428,14.492820978164673
